TIME,01/05/18,02/05/18,03/05/18,04/05/18,05/05/18,06/05/18,07/05/18,08/05/18,09/05/18,10/05/18,11/05/18,12/05/18,13/05/18,14/05/18,15/05/18,16/05/18,17/05/18,18/05/18,19/05/18,20/05/18,21/05/18,22/05/18,23/05/18,24/05/18,25/05/18,26/05/18,27/05/18,28/05/18,29/05/18,30/05/18,31/05/18,,Modal Day,,,Minutes,Hours
4:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Housework,840,14.00
5:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Food,3260,54.33
5:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,QT,1860,31.00
5:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Travel,2040,34.00
6:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Golf,0,0.00
6:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,hygiene,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Board Games,460,7.67
6:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,food,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,D&D,1080,18.00
7:00,sleep,sleep,sleep,sleep,sleep,qt,sleep,sleep,travel,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Video Games,640,10.67
7:20,sleep,sleep,sleep,sleep,sleep,qt,sleep,sleep,outreach,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,food,sleep,sleep,sleep,sleep,,sleep,,Shopping,260,4.33
7:40,sleep,sleep,sleep,sleep,sleep,qt,sleep,sleep,outreach,sleep,sleep,sleep,sleep,sleep,sleep,sleep,hygiene,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,family time,sleep,sleep,sleep,sleep,,sleep,,Misc Recreation,0,0.00
8:00,sleep,sleep,sleep,hygiene,sleep,sleep,sleep,sleep,outreach,sleep,sleep,sleep,relaxing,sleep,projects,hygiene,food,hygiene,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,family time,sleep,food,hygiene,sleep,,sleep,,,,
8:20,sleep,sleep,sleep,food,sleep,sleep,sleep,sleep,outreach,hygiene,sleep,qt,relaxing,sleep,food,food,projects,food,sleep,sleep,sleep,sleep,sleep,hygiene,sleep,sleep,family time,sleep,life admin,food,qt,,sleep,,,,
8:40,sleep,food,hygiene,food,sleep,sleep,sleep,food,outreach,food,hygiene,qt,relaxing,hygiene,food,food,projects,relaxing,sleep,sleep,hygiene,hygiene,hygiene,food,food,sleep,family time,sleep,relaxing,food,qt,,food,,,,
9:00,food,food,food,travel,sleep,food,sleep,relaxing,outreach,relaxing,food,qt,relaxing,food,relaxing,projects,travel,travel,sleep,sleep,food,projects,food,food,relaxing,food,video games,sleep,travel,travel,qt,,food,,,,
9:20,relaxing,relaxing,relaxing,phd admin,sleep,food,qt,travel,outreach,travel,housework,hygiene,relaxing,relaxing,travel,life admin,phd work,phd work,sleep,sleep,relaxing,food,housework,food,travel,relaxing,video games,food,travel,phd admin,food,,relaxing,,,,
9:40,travel,travel,travel,phd admin,sleep,tv,qt,phd admin,outreach,phd work,food,housework,qt,travel,phd work,travel,phd work,phd work,sleep,sleep,travel,food,food,travel,phd admin,relaxing,video games,food,housework,phd admin,food,,travel,,,,
10:00,phd work,phd work,phd work,life admin,hygiene,tv,qt,phd admin,outreach,phd work,food,food,qt,phd admin,phd work,phd work,phd admin,phd work,food,sleep,life admin,travel,travel,phd admin,phd admin,hygiene,video games,relaxing,hygiene,phd admin,qt,,phd work,,,,
10:20,phd work,phd work,phd work,relaxing,housework,relaxing,food,phd admin,outreach,phd work,travel,qt,qt,phd admin,phd work,phd work,phd admin,phd work,tv,sleep,phd admin,phd admin,phd admin,phd admin,phd admin,soc rel,video games,tv,projects,phd admin,qt,,phd admin,,,,
10:40,phd work,phd work,phd work,phd work,food,projects,tv,phd admin,outreach,phd work,phd work,housework,qt,phd admin,phd work,phd work,phd admin,phd work,hygiene,food,phd admin,phd work,phd admin,soc rel,relaxing,soc rel,video games,tv,housework,phd admin,projects,,phd work,,,,
11:00,phd work,relaxing,soc rec,phd work,food,projects,tv,phd work,outreach,soc rec,phd work,housework,relaxing,phd work,phd work,phd work,phd admin,phd work,relaxing,tv,phd admin,phd work,phd admin,soc rel,phd admin,board games,video games,housework,travel,phd admin,projects,,phd work,,,,
11:20,phd work,phd work,soc rec,phd work,relaxing,projects,phd work,phd work,outreach,soc rec,relaxing,housework,hygiene,phd work,phd work,phd work,phd admin,travel,phd work,projects,phd work,phd work,phd work,soc rel,phd admin,board games,video games,housework,phd admin,phd admin,life admin,,phd work,,,,
11:40,phd work,phd work,phd work,phd work,life admin,projects,phd work,phd work,outreach,phd work,phd work,housework,food,phd work,phd work,phd work,phd work,food,phd work,projects,phd work,phd work,phd work,phd admin,phd admin,board games,video games,projects,phd admin,phd admin,life admin,,phd work,,,,
