TIME,01/10/18,02/10/18,03/10/18,04/10/18,05/10/18,06/10/18,07/10/18,08/10/18,09/10/18,10/10/18,11/10/18,12/10/18,13/10/18,14/10/18,15/10/18,16/10/18,17/10/18,18/10/18,19/10/18,20/10/18,21/10/18,22/10/18,23/10/18,24/10/18,25/10/18,26/10/18,27/10/18,28/10/18,29/10/18,30/10/18,31/10/18,,Modal Day,,,Minutes,Hour
4:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,phd work,phd work,phd work,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Exercise,180,3.00
4:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,phd work,phd work,phd work,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Hygiene,520,8.67
4:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,phd work,phd work,phd work,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Housework,660,11.00
5:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,phd work,phd work,phd work,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Food,2980,49.67
5:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,phd work,phd work,phd work,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,QT,2400,40.00
5:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,food,sleep,sleep,phd work,phd work,phd work,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Travel,4540,75.67
6:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,life admin,sleep,sleep,phd work,phd work,phd work,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Golf,0,0.00
6:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,phd work,phd work,phd work,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Board Games,460,7.67
6:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,food,sleep,sleep,travel,sleep,sleep,phd work,phd work,phd work,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,D&D,1160,19.33
7:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,sleep,travel,sleep,sleep,phd work,phd work,phd work,life admin,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Video Games,840,14.00
