TIME,01/06/18,02/06/18,03/06/18,04/06/18,05/06/18,06/06/18,07/06/18,08/06/18,09/06/18,10/06/18,11/06/18,12/06/18,13/06/18,14/06/18,15/06/18,16/06/18,17/06/18,18/06/18,19/06/18,20/06/18,21/06/18,22/06/18,23/06/18,24/06/18,25/06/18,26/06/18,27/06/18,28/06/18,29/06/18,30/06/18,,Modal Day,,,Minutes,Hours
5:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,QT,2800,46.67
5:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Travel,2340,39.00
6:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Golf,300,5.00
6:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,,sleep,,Board Games,340,5.67
6:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,food,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,food,sleep,sleep,,sleep,,D&D,800,13.33
7:00,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,food,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,relaxing,sleep,relaxing,,sleep,,Video Games,360,6.00
7:20,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,sleep,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,travel,sleep,sleep,,sleep,,Shopping,480,8.00
7:40,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,outreach,sleep,sleep,sleep,hygiene,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,outreach,sleep,sleep,,sleep,,Misc Recreation,0,0.00
8:00,sleep,sleep,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,outreach,sleep,sleep,sleep,food,sleep,sleep,sleep,sleep,hygiene,sleep,sleep,sleep,sleep,sleep,sleep,outreach,sleep,sleep,,sleep,,,,
8:20,sleep,sleep,qt,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,outreach,sleep,sleep,hygiene,food,sleep,hygiene,hygiene,hygiene,food,food,sleep,sleep,food,food,food,outreach,housework,sleep,,sleep,,,,
8:40,sleep,sleep,qt,sleep,sleep,hygiene,food,hygiene,sleep,sleep,sleep,outreach,food,food,food,life admin,sleep,food,food,food,food,hygiene,qt,sleep,relaxing,relaxing,relaxing,outreach,housework,sleep,,sleep,,,,
9:00,qt,sleep,qt,sleep,food,food,hygiene,food,sleep,sleep,sleep,outreach,food,soc rel,travel,travel,sleep,food,food,relaxing,relaxing,food,qt,sleep,food,travel,life admin,outreach,food,food,,food,,,,
9:20,qt,qt,food,food,food,food,travel,food,sleep,sleep,sleep,outreach,travel,travel,phd work,travel,sleep,travel,relaxing,food,travel,food,qt,qt,travel,phd work,travel,outreach,food,relaxing,,food,,,,
9:40,food,qt,food,food,relaxing,food,phd work,travel,qt,sleep,sleep,outreach,phd work,phd work,phd work,relaxing,sleep,phd admin,housework,food,phd work,relaxing,qt,qt,phd admin,phd work,phd work,outreach,travel,family time,,phd work,,,,
10:00,food,food,housework,shopping,travel,travel,phd work,phd work,food,sleep,food,outreach,phd work,phd admin,phd work,qt,qt,phd admin,sleep,travel,phd admin,travel,qt,qt,phd admin,phd work,phd work,outreach,phd work,relaxing,,phd work,,,,
10:20,food,food,housework,travel,phd work,phd work,phd work,projects,life admin,sleep,food,outreach,relaxing,phd admin,phd work,qt,qt,phd work,sleep,phd admin,phd admin,phd work,hygiene,qt,phd admin,phd work,phd work,outreach,phd work,life admin,,phd work,,,,
10:40,qt,travel,travel,phd admin,phd work,phd work,phd work,projects,travel,sleep,travel,outreach,phd work,phd admin,relaxing,qt,qt,phd work,sleep,phd admin,phd admin,phd work,food,hygiene,phd admin,phd work,phd work,outreach,phd work,life admin,,phd work,,,,
11:00,qt,travel,shopping,phd admin,phd work,relaxing,soc rel,projects,travel,sleep,phd admin,outreach,phd work,soc rec,phd work,qt,hygiene,relaxing,sleep,phd admin,soc rec,phd work,food,food,phd admin,phd work,phd work,outreach,relaxing,life admin,,phd work,,,,
11:20,qt,travel,travel,phd work,phd work,phd work,relaxing,projects,travel,sleep,phd admin,outreach,phd work,soc rec,phd work,qt,housework,phd work,sleep,phd admin,soc rec,phd work,qt,food,phd work,relaxing,phd work,outreach,phd work,food,,phd work,,,,
11:40,hygiene,qt,travel,phd work,phd work,phd work,phd work,projects,golf,relaxing,phd admin,outreach,phd work,phd work,phd work,qt,food,phd work,sleep,phd work,phd work,phd work,travel,food,phd work,phd work,phd work,outreach,phd work,food,,phd work,,,,
12:00,qt,qt,travel,shopping,phd work,phd work,phd work,phd work,golf,housework,phd admin,outreach,shopping,shopping,phd work,qt,food,phd work,sleep,relaxing,phd work,phd work,shopping,housework,phd work,phd work,phd work,outreach,phd work,relaxing,,phd work,,,,
12:20,travel,qt,travel,food,phd work,food,shopping,phd work,golf,food,phd work,outreach,food,food,phd work,soc rel,qt,phd work,food,food,phd work,phd work,shopping,housework,food,phd work,phd work,outreach,phd work,hygiene,,food,,,,
12:40,travel,qt,shopping,soc rel,food,food,food,food,golf,food,food,outreach,food,soc rel,travel,soc rel,qt,food,relaxing,food,food,food,travel,soc rel,soc rel,food,food,outreach,food,travel,,food,,,,
13:00,travel,qt,life admin,soc rel,food,soc rel,soc rel,projects,golf,housework,phd admin,outreach,soc rel,soc rel,tv,food,qt,soc rel,tv,soc rel,food,food,food,tv,phd admin,soc rel,soc rel,outreach,soc rel,shopping,,soc rel,,,,
13:20,qt,qt,life admin,phd work,soc rel,life admin,projects,soc rel,golf,hygiene,phd admin,outreach,phd work,phd work,food,food,tv,phd work,housework,soc rel,soc rel,soc rel,food,tv,phd admin,soc rel,relaxing,outreach,phd work,travel,,soc rel,,,,
13:40,qt,qt,food,phd work,phd admin,life admin,projects,projects,golf,projects,phd admin,outreach,phd work,phd work,food,soc rel,tv,phd work,food,relaxing,phd work,soc rel,housework,tv,phd admin,phd work,phd work,outreach,phd work,hygiene,,phd work,,,,
